score;content
1;Setiap mau beli tiket pasti perlu di instal ulang App nya, banyak bug nih loadingnya juga jadi lama ga kaya dulu. maap bintang 1
1;tolong adain fitur refund atau switch hari dong, bingung banget udah booking tiket buat hari minggu misal, tapi trnyta ada keadaan mendesak lainnya mau rubah hari aja engga bisa, jadi siasia banget tiketnya
5;Aplikasi nya bagus, Pembayaran nya cepat, cuma kalo bisa kasih saran saya ingin metode pembayaran nya ditambah lagi dengan yang lain. Itu saja, Terimakasih
1;Biaya layanan mahal karena dilipatkan. Beli 2 tiket biaya layanan Rp4.000 × 2 Dan kelipatannya. Harusnya sekali beli (berapapun tiketnya) 1x biaya layanan aja.
1;Point loyaltix fungsinya buat apa? Mau di tukar gak bisa, padahal udah keburu kadaluwarsa, aneh banget ni aplikasi, gak jelas point nya buat apa. Sampai sekarang gk di benerin fungsi point royalti nya
5;No antri-antri, proses booking cepat, datang, scan qr, nonton.
1;"Payah, gak bisa aktifin dana,bilangnya ""jaringan tdk tersedia"" mulu (perasaan jaringan baik2 aja). gimana mau beli tiket. Di app dana juga oke2 aja"
1;Aplikasi gak jelas, sudah transaksi pas menuggu malah gagal dan saldo hangus. Mending kalau beli tiket ga usah pakai apk langsung aja ke tempatnya itu lebih baik. Saran jangan download dah
3;Kenapa ya tix. Saya udh pesen sweet box tapi pas datang udh penuh semua.. ini gimna ya kan harganya juga beda. Terpaksa duduk di kursi yang biasa.
3;"Masih ga paham sampe skrg gimana cara gunain poin Tix nya, atau aku aja yg ndeso gatau cara pakainnya. Setiap dibuka pasti tulisannya ""Coming soon"" Sayang banget kalo ga kepake krna kadaluarsa."
5;Sangat membantu... Cuman tlong dong adain fitur reschedule untuk yg tiba2 ada halangan jdi ga sia2 harus beli tket 2x di hari yg sama
2;Tix id sedang melawak, dibuka malah ngestuck di tulisan tix id, jd ga bisa masuk ke app nya... pengen nonton jadi harus manual dah di uninstall masih aja, gws tix id
5;Sangat membantu saya suka apknya. Mempermudah saya pesan tiket. Jadi saya tidak pernah lagi mengalami kehabisan tiket nonton film yg saya mau di bioskop 👍🏻🤩
2;Kenapa gak bisa masuk padahal dah gua diemin 2 hari gua kira lagi eror ternyata masih gak bisa masuk ,dah gua hapus teru unduh lgi tetep ajh gak bisa tolong di perbaikin ,kalo ada yg nanya ho gua apa hp gua realme gt neo 3 bukan kentang ini apk nya ajh bermasalah
1;Kenapa pas buka aplikasi stuck di logo ya? Bugnya parah bikin buang-buang waktu. Btw bug ini saya alami di hp xiaomi note 8 pro
5;Mudah dan simpel fiturnya, serta cepat transaksinya, good lah👍👍👍👍👍
1;Pas buka aplikasi nya ngak bisa masuk cuman muncul logo tix doang gimana solusi nya udahh di instal dan uninstall tapi sama saja payah nih aplikasi
1;Pas buka aplikasinya cuma stuk di log tix nya , ga masuk ke aplikasinya, sudah di uninstal dan instal ulang tetap sma.
2;Daftar akun, kode verifikasinya ngirimnya setangah jam kemudian, sedangkan waktu yang di tentukan cuman 3menit, 10x lipat lamanya pengiriman kode, jadi ga bisa² buat daftar akun, selalu gagal
4;Memudahkan beli tiket tanpa antri.. harapan saya untuk tix.id semoga ditambahkan fitur metode pembayarannya, seperti e-wallet dan bank yg belum tersedia.
5;apk yang sering saya gunakan ketika ingin menonton bioskop sangat memudahkan tetapi saya sarankan agar ditambahkan dengan bisa untuk membeli popcorn di apk trsbt trim
3;bagus min aplikasi tix nya sangat membantu.kenapa gak kasi rating bintang 5?karna diskon nya sering malu2.masa ngasi diskon potongan 8rb minimal beli tiket 2 tiket.biaya tix 4rb per tiket jd sama aja boong dong🤭
5;Hello TIX ID. This is amazing app I ever have. Banyak promo, bebas antri panjang di bioskop, selalu banya bonus, sangat memuaskan. Ditunggu buy one get one tiket film ‘sunyi’ ya hehe!♥
5;Menurutku sudah bagus, saran saya lebih banyakin metode pembayaran bisa gopay atau m-banking Dan kalo bisa ditambahkan untuk beli food&drink di bioskop itu juga jdi nnti tinggal scan
3;Aplikasinya bagus ,mesen jd cepet dan efisien,tapi gunanya cashback point buat apa ya kalo ga bisa dipake 😁
1;Sudah beli tiket dari siang untuk nonton jam 9 malam .. pass cek in tiba² filmnya ganti .. terimakasih atas buang² waktunya .. refund juga 1minggu kemudian
5;sangat terbantu dengan aplikasi TIX.ID, bisa beli tiket bioskop tanpa antri.. Harapan saya tix.id bisa tambah metode pembayaran di aplikasinya.. entah dari mbangking atau yg lainnya
1;"Minimal bisa batalin tiket kek atau ganti jam tayangnya, udah bayar mahal"" gak dapet apa"", mending unin aja dehh gak guna banget apknya, kalau ada bintang yg lebih jelek dari 1 gw kasih dahh"
3;Sebenernya nyaman pake ini tapi gk semua pake dana, tolong bekerja sama dengan beberapa sistem pembayaran online lainnya seperti Ovo/dana/virgo. Terimakasih
5;Sangat memudahkan pas mau nonton g usah ribet antri dll.. tinggal scan barcode selesai.. hheehhe cm admin nya kmhalan sii..
1;Sangat Mengecewakan Aplikasinya. Promonya sekedar strategi marketing. Disampaikan keluhan ke Costumer Servicenya gak menyelesaikan Masalah, Malah Muter2 Jawabannya. Padahal Udah Sering pakai sejak 2019. Namun semakin kesini semakin mengecewakan. Biaya Administrasinya juga semakin besar. Tidak ada Perbaikan dan Costumer Servicenya Mengecewakan. Saya kasih Bintang 1. Real Testimoni.
5;Mudah banget untuk penggunaan dan proses pembayaran di aplikasi tix id ini, dan setelah beli tiket ketika scane QR Barcode entah di CGV atau pun XXI langsung ke deteksi dah langsung keluar tiket dari mesin.👍👍 Saran : Untuk bagian pembayaran. Mungkin tidak hanya bisa membayar dengan dana. Bisa di tambahkan dengan metode lain nya. Seperti: - shoppe pay. - goppay - ovo - atau di gerai terdekat. - Indomaret. - Alfamart. - dan+dan Saya yakin penggunaan pasti lebih nyaman dan merasa mudah.Terimakash
3;Kenapa punya tik id tidak bisa tersambung ke dana padahal jaringan saya stabil, tapi di katakan di aplikasi katanya jaringan tidak stabil, sangat mengecewakan 😢
5;Selama pake aplikasi ini overall gak ada masalah, penggunaannya mudah, ketika scan barcode di XXI langsung terdeteksi dan tiket otomatis keluar dr mesin 👍 Jadi gak perlu repot antri lagi, semoga kedepannya lancar terus apk nya. Tapi masukan aja, tolong diperbanyak lagi metode pembayarannya melalui gopay, ovo, mbanking BCA dan bank lain, pake Dana tuh terlalu repot menurut saya.
3;Seharusnya saya kasih bintang 5 karena bagus , simpel dan keren . Tpi saya kasih bintang 3 karena terjadi error' saat terhubung ke pembayaran dana. Error 4x saat pertama mau terhubung gagal terus masalah koneksi (padahal lancar intrnetny). Yg ke2-4xny pas mau beli tiket gagal lgi karena akun dana yg terhubung keluar sendiri. Tolong diperbaiki kalau ada error' . Saya sendiri sudah pakek versi yg terbaru
4;Aplikasi sudah bagus mempermudah saat pembelian tiket bioskop, tolong tambahkan metode pembayaran melalui e-wallet yg lainnya, terimakasih!
3;Kenapa skrg aplikasinya sangat lama sekali dibuka nya? Selalu saja tiap mau buka stuck di logo tix id, harus berkali2 buka tutup aplikasi. Padahal saya pakai wifi yg unlimited, berarti bukan masalah dijaringannya karena buka aplikasi lain lancar.
4;Keren sih. Minusnya bagian pembayaran. Kurang fleksibel. Jangan cm Dana aja. Kalau bisa, terintegrasi bank2 utama, atau apps pembayaran cashless kyk Ovo, gopay, dll
3;Sebenernya bagus tapi kenapa beberapa hari ini buka apk nya lama benget ku ada kali nunggu apknya loading nya 3 menit itu pun belum ke buka halaman awalnya :(
5;Saya kasih Bintang 5 dulu, soalnya bintang 10 belum keluar, kalau dh keluar bintang 10, saya kasih bintang 10 🤭, sangat memudahkan saya dlm hal bertransaksi, dan respon TIX ID dlm segala urusan sangat cepat apabila ada masalah return/pengembalian dana, respon cepat dan tepat 🙏🙏🙏
1;Menyukitkan harus aktifkan aplikasi dana dulu sebelum transaksi dan jairngan tiak stabil terus jadi gak bisa beli, padahal aplikasi lain jaringannya bagus, trus bukannya metode pembayarannya bisa debit sama kredit juga!! Padahal di aplikasi dananya sendiri lancar tapi ga bisa tersambung. Nyebelin banget mana buru-buru jadinya keabisan.
5;Setelah lama vakum di dunia perbioskopan gara gara CORONA, sekarang intall TIX ID bener bener mempermudah segala transaksi, keren banget, trimakasih.
5;Apk nya sudah bagus, mempermudah pembelian tiket biar tidak antri. Kedepannya mungkin bisa ditambah fitur yg lebih menarik dan perbanyak poin untuk bisa ditukar langaung dgn free tiket
5;Nice apk,karena bantu beli tiket tanpa antri dan tinggal klik aja. Cuma sayang pembayarannya cuma bisa pake dana,semoga bisa pake yg lain kedepannya
4;Aplikasinya cukup membantu saya dalam melakukan pemesanan tiket secara online, namun sekarang biaya layanannya sudah mahal dan tidak ada lagi promo-promo. Mohon diperbaiki!
5;"Baru bikin ulasan skrg, Krn Bru sadar apk ini ngebantu saya sama doi yg dari dulu males antri tapi pengen nonton HAHAHA THANKYOUU TIX.ID✨ ohiyaaa perbaiki bug tanggal nya juga ya, masa di menu ""HARI INI"" masih tanggal sebelumnya sih huhu, kadang rada panik jdinya. But Its ok, love tix.id banyak banyak hihi❣️🙌"
5;Aplikasi berjalan dengan baik tapi tolong loyaltixnya segera diisi reward, kasihan yang sudah dapet poin banyak tapi poinnya tidak dapat digunakan.
3;Overall bagus aplikasinya, cuma sayang koinnya ga guna, karena ga bisa ditukar sama apa apa, itupun bisa kadaluarsa, kan jadi kek ga ada gunanya apa2 itu koin, dituker gabisa tapi bisa kadaluarsa
5;Lebih simple , bagus , keren , bisa pakai DANA , hanya makanan dan minuman aja yg belum ada transaksinya , semoga nanti bisa di tingkatkan dan ada pembelian makanan dan minuman di bioskop nya , jadi tambah keren deh TIXid nyaa min 😍😍
3;Dulu aku pake sangat mudah sih, tapi sekarang nomer kartu aku yg tix id dah hangus dah ga bisa diubah jdi aku ga bisa pake tix id karena kode Verifikasinya kekirimnya disitu😭
5;Memudahkan pembelian tiket disemua bioskop. Kalau bisa ditambah menu pembelian makanan ringannya juga. Biar tidak antri juga...
5;apk nya keren, over all aku suka sama apk ini, mempermudah org biar ga ngantri buat beli tiket bioskop terlalu lama mengingat masih harus mematuhi protokol kesehatan. saran aku adain bayar di indomaret/alfamart gitu, biar yg saldonya kurang bisa melipir buat bayar di tempat yg aku sebutin. thank you TIX ID!!!
3;Aplikasi bagus,, Tpi poin loyalty kenapa tidak ada gunanya lagi.. tidak ada penukaran apa2 skarang (tidak ada event) tolong d perbaiki.. soalnya sudah melewati pertengahan bulan.. masa poin loyalty yg udah terkumpul selama ini akan Angus begitu saja..
3;Pesan tiket gampang dan lebih mudah. Cuma satu hal saya bingung. Dapat koin loyal tix tapi koin nya gak berguna. Tidak bisa di tukar atau apalah. Mending sekalian gak ush buat koin. Saran kalo mau buat koin tix nya bisa di gunakan untuk Penukaran tiket akan jdi lebih bagus, semoga jadi lebih baik
5;Aplikasinya bagus dan mudah,sangat membantu.. Tapi saya masih bingung dengan point Loyaltixnya, ada pemberitahuan akan kadaluarsa tapi pointnya sama sekali tidak bisa digunakan, jadi kegunaan loyaltix untuk apa?
3;Sangat memudahkan proses transaksi,tapi terkadang terjadi bug.Entah ini bug atau bukan atau memang dari sana sistemnya. saya saat ingin membeli tiket disini,katanya semua sudah terisi bangkunya. Tapi pas Dateng langsung ke XXI,masih ada 2 bangku.Lokasi saat saya memilih bioskop di TIX Id,dan bioskop yang saya kunjungi padahal Sama.
5;Pembayaran lebih mudah. Gak ribet harus topup topup lagi. Walaupun pajaknya pertiket bukan perorderan 👍🏿
1;Saya sebelumnya interest tp skrg sy kecewa karena poinnya diubah konsep point hanya bisa ditukar dgn reward padahal dulunya poin bisa jd potongan pd pembayaran. Saat ini jg poin sdh mau hangus tp ga ada reward bisa ditukarkan jadinya zonk.
4;Aplikasinya dangat membantu, selalu beli tiket disini, tapi loyaltixnya gunanya buat apa ya? Soalnya poin udah lumayan banyak, tapi bingung gaada pilihan Rewardnya wkwk
2;masih BAD, semakin maju seharusnya makin upgrade, terutama dengan masalah refund atau pembatalan, namanya pemesanan aplikasi apa lagi aplikasi di saat film terbaru PRESALE sudah di pilih mall terdekat malah di refresh dan hal hasil ada kesalahan memilih tempat atau mall untuk nonton fim terseubut, dilakukan refund malah ada ketentuan t&c ini pake aplikasi seharusnya jangan di samakan dengan pemblian langsung di tempat
4;Jujur aplikasinya bagus. Cuma program loyaltynya buat apa diadain? Terakhir bisa nuker poin tahun 2020. Udah 2 tahun sampai sekarang gak bisa dituker juga. Padahal biaya admin 1 tiket Rp4000
5;TIX ID Sudah bagus untuk mempermudah pembelian tiket Saran saya, coba di tambah buat pembelian makanan&minuman di aplikasi TIX ID ini agar lebih Perfect TERIMAKASIH......
4;Sebenernya bagus bgt aplikasinya, terbantu buat pesen tiket tanpa harus antri di bioskop apalagi kalo filmnya yang ditunggu banyak orang. Cuma satu aja sih, tolong perbanyak sarana pembayarannya. Ga semua orang pake dana, tolong adain pembayaran via ovo/gopay^^
3;"Alpikasi nya gampang banget di gunakan nya. Tpi sayang poin nya masih ga jelas dipake nya gimna. Poin w udh bbrapa ribu sampe hangus ga bsa kepake. Klo emng poin nya ga bsa dituker apa"" mendinh sistem poin nya di hilangkan. W pake alpikasi ini udh lama bbrapa tahun tpi sistem poin masih ga jelas."
1;Makin di update ke sini sini, makin ngelag loh, padahal sinyal saya udah kenceng, tapi kayak low speed untuk proses pembayaran, dan masuk ke app nya juga low banget, jadi males...👁👄👁mau nonton....😭😭😭😭
1;Aplikasi lemot, gabisa buka apa². Mendingan kembangin di website aja deh dan tambahin fitur beli tiket di website drpd hrs buat aplikasi yg lemot kek gini
5;Bagus, update filmnya dan lebih banyak bioskop yang tersedia dibandingkan aplikasi sebelah. Saran kalo bisa tanpa biaya admin dan tambahkan rewardnya.
5;Sangat memudahkan bisa booking online tanpa harus mengantri, dan desain UI sangat memudahkan bagi pembelinya
5;Jauh banget sama aplikasi sebelah. Disini pesan tiket lebih mudah, pilihan bioskop banyak, pembayaran gampang melalui aplikasi Dana. best lah pokoknya, cuma fitur penukaran pointnya kok belum ada ya? bisa segera diupdate lagi aplikasinya.
2;Untuk biaya layanannya mahal.. harusnya klo booking ya ckup Rp. 4000 aja sekali chekcout untuk brp bangkunya bebas biaya layanan kena 4000 aja harusnya per checkout, ini di x4 dengan sesuai kita pesan bangku, jd 4000x 4 = 16k 🙄 beda sama yg dlu g ada biaya layanan, klo skrg ada biaya layanan :v
1;Mohon maaf sekali aplikasinya error kurang update atau bagaimana.... Pesan bangku di aplikasi byk kosong, begitu sampai di tempat dana dikembalikan krna sudah ada yang ambil. Jadinya sekarang lebih pilih beli tiket langsung di bioskop
5;Sangat membantu sekali aplikasi ini, tidak perlu antri lagi..mantap dan usulan agar bisa bekerjasama dengan Kredivo, sehingga pembayaran tidak hanya dengan Dana saja.
2;"kenapa yaa promo tix id gapernah bisa saya udah 2 kali ngalamin ini saat promo film ""ngeri ngeri sedap"" pertama ada promo beli 2 gratis 1 tanggal 2-3 juni ini gabisa padahal sudah mengikuti semua syarat dan ketentuan dan juga yang sekarang dengan film judul yang sama periode even 9-10 juni beli 1 tiket gratis 1 itu juga gabisa semoga bisa diperbaiki yaa jangan jadi php(pemberi harapan palsu) gini"
4;Top up mudah. Tapi tidak untuk pembelian tiketnya. Promo banyak tapi tidak 
bisa digunakan. Mohon aplikasinya diperbaiki lagi; agar deposit cust tidak 
"sia sia.""";
3;Kenapa cuma ada pembayaran lewat dana ,saya engga make dana. Jadi engga bisa mau booking online disini . Adain pembayaran melalu bank atau indomaret gitu.
1;Cuma untuk setiap kali transfer ke tix id biayanya sangat MAHAL 5000 alias goceng...😤🙄😳😬😱😲 Dan sangat menguras isi kantong soalnya aplikasi2 yg lainnya tiap kali transfer cuma 500 rupiah-1000 rupiah sangat tidak efisien untuk yg satu itu
5;Sangat membantu sekali. Dulu sih sebelum downlod aplikasi ini sering ribut sama pacar gara gara kehabisan tiket kalo nonton. Sekarang ada aplikasi ini tidak perlu repot lagi. Mau pesen tinggal pencet hp..
1;Mengirim kode otpnya lama sekali masuknya. Tolong diperbaiki agar diperpanjang masa berlaku otp nya jadi 15 menit. 3 menit sebentar sekali.
1;Aplikasi rusak, dana sudah masuk 156 ribu, untuk pembelian 4 tiket beserta adminnya, tapi tidak kunjung ada kejelasan nomor bookingnya, tiba sampai film dimulai, tiba tiba tiket online hilang sendiri lalu di bioskop gabisa masuk kalo gaada bukti, dan harus diadukan ke tix id, setelah diadukan via email, hanya pesan otomatis yang dikirimkan oleh pihak tix id, dan sama sekali tidak refund otomatis atau refund lainnya ke akun dana saya, itu kali pertama dan terakhir saya memakai aplikasi ini.
3;Sangat membantu untuk pembelian tiket, sekedar saran tolong untuk pembayaran bisa di perluas kerja samanya entah dari shopee pay,gopay dan sebagainya karena aplikasi dana lemot dan top up saya selalu gagal jadi saya kasih bintang 3 dulu nanti kalau ada opsi selain dana saya up lagi,karena minusnya 1 pembayaran seperti pas 1 bermasalah tidak ada jalan keluar lain. Terima kasih sukses selalu tix id
1;Selama ini lancar aman..tp hari ini saya beli tiket....pas mau di print kode booking tidak aktif...dengan keterangan sudah tayang...alhasil gk jadi nonton...ini saya hub CS ..blm tau juga duitnya bisa di refund pa gak...bad
5;Lebih cepat simple dalam booking online tiket bioskop. Saya harap kedepannya TIX ID bisa memberikan banyak perubahan 😉 Sukses selalu TIX ID😁
5;Sangat memudahkan dalam memesan tiket film... cuman ada biaya penanganannya...dan waktu tayangnya kurang lengkap.... tak selengkap saat datangi bioskop nya langsung.
5;Aku suka banget pake aplikasi tix id memudahkan aku untuk mencari film2 yg rame dan gampangnya lgi bayar pake aplikasi dana ga perlu tuh repot2 kita mengantri panjang tinggal bayar deh di dana sangat membantu 😘
4;Kalau dikasih 5 bintang nanti tidak berusaha untuk berkembang jadi lebih baik lagi. Fitur point loyalti tix kenapa tidak disegerakan ?? Alangkah baiknya apabila point loyalti bisa juga untuk beli tiket film atau beli snacks di counter bioskop setempat.
2;Kok setelah aku pesen tiket, malah nggak mau masuk lagi yaa ke aplikasinya, selalu loading lama nggak masuk masuk pas mau buka aplikasinya, padahal udah hapus cache+data, tolong itu gimana yaa?
4;Kelebihan: Proses beli tiket jadi mudah di ujung jari tanpa perlu kamu antri. Pilihan bioskopnya lumayan lengkap dan bisa ambil yang dekat rumah. Kekurangan: Biaya tambahan diluar harga tiket lumayan juga (Rp 4,000.00), tawaran penukaran poin masih belum jelas seperti apa gambarannya. Saran : Buat informasi program Loyalty dan penukaran poinnya seperti apa. Kan enak kalau sudah poin banyak, bisa ditukar tiket atau cemilan sebagai teman nonton. Terima kasih
1;Nunggu sms verifikasi akunnya lama bgt, lebih lama dari nungguin cewe bikin alis 😌 udh nunggu 3 menit tapi blm ada sms nya, coba kirim ulang lagi tetap gk ada juga 🙃 ini sebenarnya niat atau gak sih aplikasinya dipake orang 🙄
3;Poin loyaltix nya kapan ni admin bisa di tukar kan. Udah puluhan ribu tak bisa di gunakan ni min. Nanti kalau dapat respon saya kasih bintang 5, temporary bintang 3 dulu
2;Membantu sih.. tp rada sebel pake ini.. pas mau mesen pagian paling atas sebelumnya penuh semua, d apk nya ngeliatin dah ke booking semua, pas aku dah booking kursi B, eh kursi A tiba2 jd banyak kosong.. tolong perbaiki ya apknya.. PHP yg mengecewakan kaya gini tuh😡
2;sebenernya aplikasinya bagus, cuma gatau kenapa sekarang kalo di buka malah yang muncul tulis TIX ID doang, udah di uninstall trus install lagi, tetep aja kek gitu, gimana ngatasinnya?
3;Cukup membantu, tapi untuk metode pembayaran bisa diperbaiki lagi agar lebih mudah. Harapannya, tidak hanya top up, tapi bisa langsung melalui debit.
5;Memudahkan kita untuk pesan tiket bioskop secara online, and then gak perlu antri dan, lebih gercep untuk dapat kursi. Makasih TIX ID
3;Ini aplikasinya kenapa ya? Dibuka kok keluarnya poster film tom cruise terus. Aku tunggu lama banget sampe 5 menit gak berubah2. Udah aku klik sana sini tetep gamau. Tolong ya
1;"Jelek banget aplikasinya. Loading lama banget pas mau pesan kursi, udah nunggu lama lama gataunya malah ada notif ""sesi berakhir"""
1;Kesel banget ya pas mau beli tiket kata nya ada voucher potongan 15rb kalo bayar pake dana, tapi pas checkout malah gak keluar voucher nya. ya lumayan lah ya potongan segitu jg dr pada gak dapet potongan sama sekali.
2;Kenapa jd gak ngebantu ya aplikasi ini,, pd hal dl mempermudah bgt, skrg sering error dan gak bs utk pesan tiket. Pdhal jaringan dan interner bagus
5;Sejauh ini aplikasinya bagus bgt dan mudah d gunakan, sarannya d tambah metode pembyaran yg lain, agar lebih mudah, jgn hanya dana, meskipun sudah ok
5;Sudah 1 tahun pake Tix Id, sumpah ngebantu banget saat mau nonton. Disaat orang lain antri saya mah langsung ke depan ngambil tiket. Pokonya berasa tamu VIP banget kalo pesan tiket pake Tix Id🤣❤️
5;Sangat membantu, tidak usah jauh2 ke bioskob untuk pesan tiket 👍👍👍, saran aja akan lebih baik klu metode pembayaran di tambah.
5;Lebih memudahkan pembelian tiket bioskop tanpa harus ngantri tapi sayangnya untuk promosi diskon kurang ada harap lebih sering ada promo dan tanpa batas minimal pembelian .. terima kasih
4;metode pembayaran masih kurang lengkap, ewalet D sering gangguan, coba ada mode pembayaran rekening/atm, atau ewalet laen yang lancar kaya LA, O, SP, dll
5;Gampang dan mudah sekali aplikasinya Saran dari saya di tambah metode pembayaran nya seperti bisa bayar di Alfamart/Indomaret, Alfamidi atau bisa pakai shopee pay Aplikasinya udah bener bener gampang banget...
1;Lambat bgt loading trus pdhal internet wifi ataupun data lancar2 aja, dan udh tinggal bayar aja tp karna loading waktu nya jadi abis trus, ga bisa buat di ajak war tiket
1;Waktu scan barcode dibioskop Suka error aplikasinya ga bisa terbuka... susah untuk refound dananya.. jawaban via email ga membantu.. alhasil hrs rela ngeiklasin dana krn ga bisa balik.. kecewa..
1;Dari awal tahun 2019-2021 pake tix id biasa² saja masih sama. Tp tahun 2022 sangat berbeda sekali dr harga beda jauh sama yg dulu. Dulu harga setara/sama dengan pembelin offline. Tetapi kemarin mau booking online harganya melejit 2 kali lipatnya. Harga mohon distabilkan seperti dulu! Biar tidak kecewa pelanggannya.
5;Mempermudah pembelian. Bagi saya jikalau tidak bisa pesan kursinya stuck loading terus itu tandanya sudah keduluan orang.
1;Aplikasi taik... Uda top up, pas pesen tikek, pilih kursi gak bisa loading terus, sesi berakhir... Hapus aja aplikasi ini, gak becus...
2;Saat pandemic terpaksa applikasi saya uninstall dulu ketika bioskop sudah aktif install kembali tapi saya lupa Pin Dana saya ,ktika klik lupa Pin malah suruh hubungi cust.service mana ada pulsa buat hubungi ribet banget,metode pembyrnnya diperbanyak dong jgn dana aja
4;Tolong di perbaiki lagi untuk masalah bug kadang sering eror dan keluar sendiri selain nya aplikasi ini sangat membantu dan memudahkan boking tiket film.
1;Sumpah sakit hati pakai Aplikasi ini, gak membantu. Pas mau pesan tiket dan pilih bangku, loading lama padahal sinyal bagus, tiba-tiba bangku yang dipilih langsung kosong. Beberapa saat sudah pilih bangku yang lain, dan bayar. Tiba-tiba bangku yang dipilih pas awal tersedia lagi. Sistem aplikasi jelek banget dan kalau bisa gak mau ku kasih bintang karena gak membantu sama sekali. Tolong dong diperbaiki aplikasinya, jangan sampai buat rugi orang lain. Terimakasih
2;Kenapa setiap mau nyambungin tix ke dana gak bisa2 ya?? Padahal jaringan bagus dan gak lagi pake wifi juga tapi tetap gak bisa!!!
1;Eror teruss pdahal ada kursi tersedia tapi gbisa loading terus saat pemesanan saat ngulang lagi kursi penuh terus coba lagi kosong ga jelas bgt. Eror aplikasi nya perbaiki.
5;Cara pesan tiketnya mudah, ngak ribet dan metode pembayaran nya menggunakan dana jadi mudah tidak perlu lagi transfer lewat atm Untuk yang buat aplikasi ini ⭐⭐⭐⭐⭐
1;Tiap buka aplikasi, selalu ga ada film yg sedang tayang di bioskop (katanya) padahal lg booming kkn di desa penari.. jd gimana mu pesen tiket lewat aplikasi klo gitu???
1;Akhir akhir ini apk nya semakin ngebug gajelas, padahal bangku belum kosong tapi tercatat telah habis, ini gimana sih, tolong dong agar lebih di perbaiki lagi, saya mau nonton bioskop jadi susah
3;Mohon di cek area Pekalongan Jawa tengah yang borong tiket 1 hari sapa hingga habis, tiket buka jam 6 pagi baru dibuka online sudah habis, sudah hampir seminggu, apakah ada oknum yg borong? Padahal tiket max di pesan 8, baru ada jeda kan..buat pembeli yg lain..ini gak ada jeda langsung sold out..apakah pakai trik BOT auto buy ? Mohon di cek..
1;Punya voucher tp selalu alasannya ada kesalahan gangguan, sudah seminggu di coba masih tidak bisa, keburu hangus vouchernya nanti yg ada 😤
5;Masukan saja utk kedepannya....metode pembayaran bisa ditmbh lagi..gak lewat dana saja, bisa pakai e money yg lain, bisa pakai kartu kredit.
1;Updatenya lama bangettt, kalah gercep sm apk m.tix. Apk m.tix jam 6.5 udh ke update, lu jam 6.10 baru ke update otomatis gw gk dpt tiket udh pd kosonggg & gk bisa nonton kkn😡
5;Aplikasi nya bagus membantu banget sumpah. Tapi tix pliss tambah metode pembayaran dong kaya bisa pembayaran via indomaret atau alfamart soalnya kalau pakai dana itu kan beberapa orang jarang ada saldo di dana jadi harus top up dulu jadi lama. Pliis tix dengerin masukan aku🥲. Kadang udah top up eh tiket keburu habis karna top up dulu. Tolong di upgrade lagi ya tix aku suka pakai tix karna easy di pakai
1;bikin jengkel sama aplikasi ini, dulu bisa pesen seat untuk nonton 2 hari kedepan untuk XXI, hl ini bisanya hari itu juga pesen nya, hari berikutnya cuma cgv yg ada, percuma juga pakai aplikasi ini, entah bug atau apaan yg jelas sangat tidak membantu dan jelek, uninstall,
3;Halo min.. Dulu pernah punya tix.id masih ada saldo eh tau² di unistal trus sekarang mau masuk ke akun nomer hp nya ganti.. Gimana solusinya? Bintang 3 dulu, nanti kalo ada solusi kasih 5
3;Beli tiket di batalkan terus pembayaran nya, pas lihat kursi di aplikasi kadang-kadang penuh pas langsung datang ke studio nya msih ada aja yg kosong, tolong dong di perbaiki
2;"Sudah di tunggu dari tengah malam sampai pagi, Tulisannya ""tidak ada film yang diputar"" skalinya udah ada kursi seketika tidak tersedia pada jam yang akan dibeli. Tolong dong kebijakannya dan pelayanan servernya, Lokasi di Pontianak"
3;setiap aplikasi pasti ada kelebihan dan kekurangan sihh,kalo d TIX ID kekurangan nya lebih lambat update di banding M.TIX cuma kelebihan nya bayar nya bisa pake DANA jdi uang yg d top up bisa d belanjain lagi
1;Dlu app ini bagus bngt ngegampangin orng booking tiket nonton di bioskop ko lama lama malah ga bagus ya mau cek jadwal lemot parah abis itu mau booking malah jadwal nya ga tersedia padahal internet keceng :(
3;"Bagus sih aplikasi nya. Tapi ko kadang pas buka dan milih film,jadwal film nya tuh ngga ada,malah ada tulisan ""telah terjadi kesalahan,mohon coba kembali beberapa saat lagi"". Knapa ya kok kaya gitu"
1;"apl anjenk. mau pesan tiket selalu bertuliskan ""telah terjadi kesalahan mohon coba kembali beberapa saat lagi"" pas udah mau tiket pada sold semua fak"
5;Dari jaman promo buy 1 get 1 free udah pake ini. Ditambah ada prokes, yaudah, jadi memudahkan untuk pemesanan secara online tanpa harus antri ditengah-tengah keramaian. Thank u. Semoga promo nya makin banyak ya. Sukses selalu
2;Tidak bisa membeli tiket dan memilih tempat duduk serta untuk jadwal di hari selanjut nya cuman ada satu studio saja dan tetap tidak bisa membeli dan memilih tempat duduk, padahal sudah pakai 2x juga bisa sekarang kenapa seperti ini 😪
5;Suka saja praktis memanjakan bla bla bla pkok the best ,proses cpet gk ribet gk hrus buka klik ini itu ,sama bisa liat jg film yg akan datang dan jg bisa kasih notif ,best dah mkasie tix id..
